step,value
2500,0.0
5000,0.0
7500,0.0
10000,0.0
12500,0.0
15000,0.0
17500,0.0
20000,0.0
22500,0.0
25000,0.0
27500,0.0
30000,0.0
32500,0.0
35000,0.0
37500,0.0
40000,0.0
42500,0.0
45000,0.0
47500,0.0
50000,0.0
52500,0.0
55000,0.0
57500,0.0
60000,0.0
62500,0.0
65000,0.0
67500,0.0
70000,0.0
72500,0.0
75000,0.0
77500,0.0
80000,0.0
82500,0.0
85000,0.0
87500,0.0
90000,0.0
92500,0.0
95000,0.0
97500,0.0
100000,0.0
102500,0.0
105000,0.0
107500,0.0
110000,0.0
112500,0.0
115000,0.0
117500,0.0
120000,0.0
122500,0.0
125000,0.0
127500,0.0
130000,0.0
132500,0.0
135000,0.0
137500,0.0
140000,0.0
142500,0.0
145000,0.0
147500,0.0
150000,0.0
152500,0.0
155000,0.0
157500,0.0
160000,0.0
162500,0.0
165000,0.0
167500,0.0
170000,0.0
172500,0.0
175000,0.0
177500,0.0
180000,0.0
182500,0.0
185000,0.0
187500,0.0
190000,0.0
192500,0.0
195000,0.0
197500,0.0
200000,0.0
202500,0.0
205000,0.0
207500,0.0
210000,0.0
212500,0.0
215000,0.0
217500,0.0
220000,0.0
222500,0.0
225000,0.0
227500,0.0
230000,0.0
232500,0.0
235000,0.0
237500,0.0
240000,0.0
242500,0.0
245000,0.0
247500,0.0
250000,0.0
252500,0.0
255000,0.0
257500,0.0
260000,0.0
262500,0.0
265000,0.0
267500,0.0
270000,0.0
272500,0.0
275000,0.0
277500,0.0
280000,0.0
282500,0.0
285000,0.0
287500,0.0
290000,0.0
292500,0.0
295000,0.0
297500,0.0
300000,0.0
302500,0.0
305000,0.0
307500,0.0
310000,0.0
312500,0.0
315000,0.0
317500,0.0
320000,0.0
322500,0.0
325000,0.0
327500,0.0
330000,0.0
332500,0.0
335000,0.0
337500,0.0
340000,0.0
342500,0.0
345000,0.0
347500,0.0
350000,0.0
352500,0.0
355000,0.0
357500,0.0
360000,0.0
362500,0.0
365000,0.0
367500,0.0
370000,0.0
372500,0.0
375000,0.0
377500,0.0
380000,0.0
382500,0.0
385000,0.0
387500,0.0
390000,0.0
392500,0.0
395000,0.0
397500,0.0
400000,0.0
402500,0.0
405000,0.0
407500,0.0
410000,0.0
412500,0.0
415000,0.0
417500,0.0
420000,0.0
422500,0.0
425000,0.0
427500,0.0
430000,0.0
432500,0.0
435000,0.0
437500,0.0
440000,0.0
442500,0.0
445000,0.0
447500,0.0
450000,0.0
452500,0.0
455000,0.0
457500,0.0
460000,0.0
462500,0.0
465000,0.0
467500,0.0
470000,0.0
472500,0.0
475000,0.0
477500,0.0
480000,0.0
482500,0.0
485000,0.0
487500,0.0
490000,0.0
492500,0.0
495000,0.0
497500,0.0
500000,0.0
502500,0.0
505000,0.0
507500,0.0
510000,0.0
512500,0.0
515000,0.0
517500,0.0
520000,0.0
522500,0.0
525000,0.0
527500,0.0
530000,0.0
532500,0.0
535000,0.0
537500,0.0
540000,0.0
542500,0.0
545000,0.0
547500,0.0
550000,0.0
552500,0.0
555000,0.0
557500,0.0
560000,0.0
562500,0.0
565000,0.0
567500,0.0
570000,0.0
572500,0.0
575000,0.0
577500,0.0
580000,0.0
582500,0.0
585000,0.0
587500,0.0
590000,0.0
592500,0.0
595000,0.0
597500,0.0
600000,0.0
602500,0.0
605000,0.0
607500,0.0
610000,0.0
612500,0.0
615000,0.0
617500,0.0
620000,0.0
622500,0.0
625000,0.0
627500,0.0
630000,0.0
632500,0.0
635000,0.0
637500,0.0
640000,0.0
642500,0.0
645000,0.0
647500,0.0
650000,0.0
652500,0.0
655000,0.0
657500,0.0
660000,0.0
662500,0.0
665000,0.0
667500,0.0
670000,0.0
672500,0.0
675000,0.0
677500,0.0
680000,0.0
682500,0.0
685000,0.0
687500,0.0
690000,0.0
692500,0.0
695000,0.0
697500,0.0
700000,0.0
702500,0.0
705000,0.0
707500,0.0
710000,0.0
712500,0.0
715000,0.0
717500,0.0
720000,0.0
722500,0.0
725000,0.0
727500,0.0
730000,0.0
732500,0.0
735000,0.0
737500,0.0
740000,0.0
742500,0.0
745000,0.0
747500,0.0
750000,0.0
752500,0.0
755000,0.0
757500,0.0
760000,0.0
762500,0.0
765000,0.0
767500,0.0
770000,0.0
772500,0.0
775000,0.0
777500,0.0
780000,0.0
782500,0.0
785000,0.0
787500,0.0
790000,0.0
792500,0.0
795000,0.0
797500,0.0
800000,0.0
802500,0.0
805000,0.0
807500,0.0
810000,0.0
812500,0.0
815000,0.0
817500,0.0
820000,0.0
822500,0.0
825000,0.0
827500,0.0
830000,0.0
832500,0.0
835000,0.0
837500,0.0
840000,0.0
842500,0.0
845000,0.0
847500,0.0
850000,0.0
852500,0.0
855000,0.0
857500,0.0
860000,0.0
862500,0.0
865000,0.0
867500,0.0
870000,0.0
872500,0.0
875000,0.0
877500,0.0
880000,0.0
882500,0.0
885000,0.0
887500,0.0
890000,0.0
892500,0.0
895000,0.0
897500,0.0
900000,0.0
902500,0.0
905000,0.0
907500,0.0
910000,0.0
912500,0.0
915000,0.0
917500,0.0
920000,0.0
922500,0.0
925000,0.0
927500,0.0
930000,0.0
932500,0.0
935000,0.0
937500,0.0
940000,0.0
942500,0.0
945000,0.0
947500,0.0
950000,0.0
952500,0.0
955000,0.0
957500,0.0
960000,0.0
962500,0.0
965000,0.0
967500,0.0
970000,0.0
972500,0.0
975000,0.0
977500,0.0
980000,0.0
982500,0.0
985000,0.0
987500,0.0
990000,0.0
992500,0.0
995000,0.0
997500,0.0
1000000,0.0
1002500,0.0
1005000,0.0
1007500,0.0
1010000,0.0
1012500,0.0
1015000,0.0
1017500,0.0
1020000,0.0
1022500,0.0
1025000,0.0
1027500,0.0
1030000,0.0
1032500,0.0
1035000,0.0
1037500,0.0
1040000,0.0
1042500,0.0
1045000,0.0
1047500,0.0
1050000,0.0
1052500,0.0
1055000,0.0
1057500,0.0
1060000,0.0
1062500,0.0
1065000,0.0
1067500,0.0
1070000,0.0
1072500,0.0
1075000,0.0
1077500,0.0
1080000,0.0
1082500,0.0
1085000,0.0
1087500,0.0
1090000,0.0
1092500,0.0
1095000,0.0
1097500,0.0
1100000,0.0
1102500,0.0
1105000,0.0
1107500,0.0
1110000,0.0
1112500,0.0
1115000,0.0
1117500,0.0
1120000,0.0
1122500,0.0
1125000,0.0
1127500,0.0
1130000,0.0
1132500,0.0
1135000,0.0
1137500,0.0
1140000,0.0
1142500,0.0
1145000,0.0
1147500,0.0
1150000,0.0
1152500,0.0
1155000,0.0
1157500,0.0
1160000,0.0
1162500,0.0
1165000,0.0
1167500,0.0
1170000,0.0
1172500,0.0
1175000,0.0
1177500,0.0
1180000,0.0
1182500,0.0
1185000,0.0
1187500,0.0
1190000,0.0
1192500,0.0
1195000,0.0
1197500,0.0
1200000,0.0
1202500,0.0
1205000,0.0
1207500,0.0
1210000,0.0
1212500,0.0
1215000,0.0
1217500,0.0
1220000,0.0
1222500,0.0
1225000,0.0
1227500,0.0
1230000,0.0
1232500,0.0
1235000,0.0
1237500,0.0
1240000,0.0
1242500,0.0
1245000,0.0
1247500,0.0
1250000,0.0
1252500,0.0
1255000,0.0
1257500,0.0
1260000,0.0
1262500,0.0
1265000,0.0
1267500,0.0
1270000,0.0
1272500,0.0
1275000,0.0
1277500,0.0
1280000,0.0
1282500,0.0
1285000,0.0
1287500,0.0
1290000,0.0
1292500,0.0
1295000,0.0
1297500,0.0
1300000,0.0
1302500,0.0
1305000,0.0
1307500,0.0
1310000,0.0
1312500,0.0
1315000,0.0
1317500,0.0
1320000,0.0
1322500,0.0
1325000,0.0
1327500,0.0
1330000,0.0
1332500,0.0
1335000,0.0
1337500,0.0
1340000,0.0
1342500,0.0
1345000,0.0
1347500,0.0
1350000,0.0
1352500,0.0
1355000,0.0
1357500,0.0
1360000,0.0
1362500,0.0
1365000,0.0
1367500,0.0
1370000,0.0
1372500,0.0
1375000,0.0
1377500,0.0
1380000,0.0
1382500,0.0
1385000,0.0
1387500,0.0
1390000,0.0
1392500,0.0
1395000,0.0
1397500,0.0
1400000,0.0
1402500,0.0
1405000,0.0
1407500,0.0
1410000,0.0
1412500,0.0
1415000,0.0
1417500,0.0
1420000,0.0
1422500,0.0
1425000,0.0
1427500,0.0
1430000,0.0
1432500,0.0
1435000,0.0
1437500,0.0
1440000,0.0
1442500,0.0
1445000,0.0
1447500,0.0
1450000,0.0
1452500,0.0
1455000,0.0
1457500,0.0
1460000,0.0
1462500,0.0
1465000,0.0
1467500,0.0
1470000,0.0
1472500,0.0
1475000,0.0
1477500,0.0
1480000,0.0
1482500,0.0
1485000,0.0
1487500,0.0
1490000,0.0
1492500,0.0
1495000,0.0
1497500,0.0
1500000,0.0
1502500,0.0
1505000,0.0
1507500,0.0
1510000,0.0
1512500,0.0
1515000,0.0
1517500,0.0
1520000,0.0
1522500,0.0
1525000,0.0
1527500,0.0
1530000,0.0
1532500,0.0
1535000,0.0
1537500,0.0
1540000,0.0
1542500,0.0
1545000,0.0
1547500,0.0
1550000,0.0
1552500,0.0
1555000,0.0
1557500,0.0
1560000,0.0
1562500,0.0
1565000,0.0
1567500,0.0
1570000,0.0
1572500,0.0
1575000,0.0
1577500,0.0
1580000,0.0
1582500,0.0
1585000,0.0
1587500,0.0
1590000,0.0
1592500,0.0
1595000,0.0
1597500,0.0
1600000,0.0
1602500,0.0
1605000,0.0
1607500,0.0
1610000,0.0
1612500,0.0
1615000,0.0
1617500,0.0
1620000,0.0
1622500,0.0
1625000,0.0
1627500,0.0
1630000,0.0
1632500,0.0
1635000,0.0
1637500,0.0
1640000,0.0
1642500,0.0
1645000,0.0
1647500,0.0
1650000,0.0
1652500,0.0
1655000,0.0
1657500,0.0
1660000,0.0
1662500,0.0
1665000,0.0
1667500,0.0
1670000,0.0
1672500,0.0
1675000,0.0
1677500,0.0
1680000,0.0
1682500,0.0
1685000,0.0
1687500,0.0
1690000,0.0
1692500,0.0
1695000,0.0
1697500,0.0
1700000,0.0
1702500,0.0
1705000,0.0
1707500,0.0
1710000,0.0
1712500,0.0
1715000,0.0
1717500,0.0
1720000,0.0
1722500,0.0
1725000,0.0
1727500,0.0
1730000,0.0
1732500,0.0
1735000,0.0
1737500,0.0
1740000,0.0
1742500,0.0
1745000,0.0
1747500,0.0
1750000,0.0
1752500,0.0
1755000,0.0
1757500,0.0
1760000,0.0
1762500,0.0
1765000,0.0
1767500,0.0
1770000,0.0
1772500,0.0
1775000,0.0
1777500,0.0
1780000,0.0
1782500,0.0
1785000,0.0
1787500,0.0
1790000,0.0
1792500,0.0
1795000,0.0
1797500,0.0
1800000,0.0
1802500,0.0
1805000,0.0
1807500,0.0
1810000,0.0
1812500,0.0
1815000,0.0
1817500,0.0
1820000,0.0
1822500,0.0
1825000,0.0
1827500,0.0
1830000,0.0
1832500,0.0
1835000,0.0
1837500,0.0
1840000,0.0
1842500,0.0
1845000,0.0
1847500,0.0
1850000,0.0
1852500,0.0
1855000,0.0
1857500,0.0
1860000,0.0
1862500,0.0
1865000,0.0
1867500,0.0
1870000,0.0
1872500,0.0
1875000,0.0
1877500,0.0
1880000,0.0
1882500,0.0
1885000,0.0
1887500,0.0
1890000,0.0
1892500,0.0
1895000,0.0
1897500,0.0
1900000,0.0
1902500,0.0
1905000,0.0
1907500,0.0
1910000,0.0
1912500,0.0
1915000,0.0
1917500,0.0
1920000,0.0
1922500,0.0
1925000,0.0
1927500,0.0
1930000,0.0
1932500,0.0
1935000,0.0
1937500,0.0
1940000,0.0
1942500,0.0
1945000,0.0
1947500,0.0
1950000,0.0
1952500,0.0
1955000,0.0
1957500,0.0
1960000,0.0
1962500,0.0
1965000,0.0
1967500,0.0
1970000,0.0
1972500,0.0
1975000,0.0
1977500,0.0
1980000,0.0
1982500,0.0
1985000,0.0
1987500,0.0
1990000,0.0
1992500,0.0
1995000,0.0
1997500,0.0
2000000,0.0
2002500,0.0
2005000,0.0
2007500,0.0
2010000,0.0
2012500,0.0
2015000,0.0
2017500,0.0
2020000,0.0
2022500,0.0
2025000,0.0
2027500,0.0
2030000,0.0
2032500,0.0
2035000,0.0
2037500,0.0
2040000,0.0
2042500,0.0
2045000,0.0
2047500,0.0
2050000,0.0
2052500,0.0
2055000,0.0
2057500,0.0
2060000,0.0
2062500,0.0
2065000,0.0
2067500,0.0
2070000,0.0
2072500,0.0
2075000,0.0
2077500,0.0
2080000,0.0
2082500,0.0
2085000,0.0
2087500,0.0
2090000,0.0
2092500,0.0
2095000,0.0
2097500,0.0
2100000,0.0
2102500,0.0
2105000,0.0
2107500,0.0
2110000,0.0
2112500,0.0
2115000,0.0
2117500,0.0
2120000,0.0
2122500,0.0
2125000,0.0
2127500,0.0
2130000,0.0
2132500,0.0
2135000,0.0
2137500,0.0
2140000,0.0
2142500,0.0
2145000,0.0
2147500,0.0
2150000,0.0
2152500,0.0
2155000,0.0
2157500,0.0
2160000,0.0
2162500,0.0
2165000,0.0
2167500,0.0
2170000,0.0
2172500,0.0
2175000,0.0
2177500,0.0
2180000,0.0
2182500,0.0
2185000,0.0
2187500,0.0
2190000,0.0
2192500,0.0
2195000,0.0
2197500,0.0
2200000,0.0
2202500,0.0
2205000,0.0
2207500,0.0
2210000,0.0
2212500,0.0
2215000,0.0
2217500,0.0
2220000,0.0
2222500,0.0
2225000,0.0
2227500,0.0
2230000,0.0
2232500,0.0
2235000,0.0
2237500,0.0
2240000,0.0
2242500,0.0
2245000,0.0
2247500,0.0
2250000,0.0
2252500,0.0
2255000,0.0
2257500,0.0
2260000,0.0
2262500,0.0
2265000,0.0
2267500,0.0
2270000,0.0
2272500,0.0
2275000,0.0
2277500,0.0
2280000,0.0
2282500,0.0
2285000,0.0
2287500,0.0
2290000,0.0
2292500,0.0
2295000,0.0
2297500,0.0
2300000,0.0
2302500,0.0
2305000,0.0
2307500,0.0
2310000,0.0
2312500,0.0
2315000,0.0
2317500,0.0
2320000,0.0
2322500,0.0
2325000,0.0
2327500,0.0
2330000,0.0
2332500,0.0
2335000,0.0
2337500,0.0
2340000,0.0
2342500,0.0
2345000,0.0
2347500,0.0
2350000,0.0
2352500,0.0
2355000,0.0
2357500,0.0
2360000,0.0
2362500,0.0
2365000,0.0
2367500,0.0
2370000,0.0
2372500,0.0
2375000,0.0
2377500,0.0
2380000,0.0
2382500,0.0
2385000,0.0
2387500,0.0
2390000,0.0
2392500,0.0
2395000,0.0
2397500,0.0
2400000,0.0
2402500,0.0
2405000,0.0
2407500,0.0
2410000,0.0
2412500,0.0
2415000,0.0
2417500,0.0
2420000,0.0
2422500,0.0
2425000,0.0
2427500,0.0
2430000,0.0
2432500,0.0
2435000,0.0
2437500,0.0
2440000,0.0
2442500,0.0
2445000,0.0
2447500,0.0
2450000,0.0
2452500,0.0
2455000,0.0
2457500,0.0
2460000,0.0
