step,value
27500,9.743100235937163e-05
52500,9.717256252770313e-05
77500,9.668094695371111e-05
105000,9.597742357436801e-05
130000,9.508538269219571e-05
157500,9.402538590751647e-05
182500,9.281518923698605e-05
207500,9.146651229481578e-05
232500,8.999494351723093e-05
260000,8.840948189973987e-05
285000,8.672196638051375e-05
312500,8.494410265218613e-05
337500,8.308391563275029e-05
365000,8.114900755338769e-05
390000,7.91501108766979e-05
415000,7.709118410622987e-05
442500,7.498103003985134e-05
467500,7.282173187586003e-05
492500,7.062052359930463e-05
520000,6.838000642470286e-05
545000,6.61071311280671e-05
570000,6.380473370772987e-05
595000,6.147519630478223e-05
622500,5.9121362793328655e-05
647500,5.674551289949287e-05
672500,5.4351148475138754e-05
700000,5.1939620569333224e-05
725000,4.951222570746708e-05
750000,4.707052057182124e-05
775000,4.46159561986571e-05
802500,4.2149048533511966e-05
827500,3.9672281915102064e-05
852500,3.7184792235580986e-05
880000,3.4689841773352255e-05
905000,3.218833658680467e-05
930000,2.967970223868491e-05
955000,2.7165501567949007e-05
982500,2.464645120971398e-05
1027500,2.87619929801121e-05
1052500,3.237939085709554e-05
1080000,3.554923848506624e-05
1105000,3.831513837723938e-05
1130000,4.071890848450407e-05
1157500,4.279667447385977e-05
1182500,4.458086759108285e-05
1207500,4.6100854945929355e-05
1232500,4.738287012252625e-05
1260000,4.845126076489203e-05
1285000,4.932615896201722e-05
1310000,5.002698417141688e-05
1337500,5.0571523496851005e-05
1362500,5.097623898766086e-05
1387500,5.125443308906983e-05
1415000,5.141937130324488e-05
1440000,5.148154575796469e-05
1465000,5.145163591722662e-05
1492500,5.1339334061757793e-05
1517500,5.1152835737285604e-05
1542500,5.08995074762198e-05
1567500,5.0585545146857477e-05
1595000,5.0217442528921165e-05
1620000,4.980078718285736e-05
1645000,4.9340117149726835e-05
1670000,4.883994776697292e-05
1697500,4.830363852559757e-05
1722500,4.773554046596924e-05
1747500,4.713880554887006e-05
1775000,4.6516064265605587e-05
1800000,4.586981066001328e-05
1825000,4.5202629158767475e-05
1850000,4.451648922395196e-05
1877500,4.3813333265052425e-05
1902500,4.3094669707802626e-05
1927500,4.236232907260785e-05
1955000,4.161776274077517e-05
1980000,4.086180983900209e-05
2005000,4.0095835670362344e-05
2030000,3.9320625538005695e-05
2057500,3.853715324241137e-05
2082500,3.7746678283179054e-05
2107500,3.694933412957441e-05
2132500,3.6146304467040775e-05
2160000,3.533766126236389e-05
2185000,3.4524192333938804e-05
2210000,3.370668711765273e-05
2237500,3.288549594590223e-05
2262500,3.20604539046417e-05
2287500,3.123174944806761e-05
2312500,3.040045895117447e-05
2340000,2.9566590906951186e-05
2365000,2.8730226446259697e-05
2390000,2.789139511302899e-05
2417500,2.705075032054362e-05
2442500,2.6208596742210615e-05
2467500,2.5364458614765216e-05
2495000,2.4519217787437573e-05
2520000,2.367303782660544e-05
2545000,2.282586921830479e-05
2570000,2.1977310878044915e-05
2597500,2.112801846296181e-05
2622500,2.0278042006523962e-05
2647500,1.942733658982701e-05
2675000,1.857599520872977e-05
2700000,1.772423470952952e-05
2725000,1.6871923654346406e-05
2750000,1.601911709877871e-05
2777500,1.5165844629456187e-05
2802500,1.4312246151910725e-05
2827500,1.3458407608828872e-05
2852500,1.2604576378663025e-05
2880000,1.175062167237923e-05
2905000,1.0896582508521413e-05
2930000,1.004233736605409e-05
2957500,9.187953477179047e-06
2982500,8.333124733563604e-06
