step,value
962500,1.0
965000,1.2
967500,1.58
970000,2.222
972500,2.8998
975000,3.60982
977500,4.548838
980000,5.593954199999999
982500,6.534558779999999
985000,7.781102901999999
987500,9.102992611799998
990000,10.59269335062
992500,11.933424015558
995000,13.2400816140022
997500,14.616073452601979
1000000,15.95446610734178
1002500,14.859019496607603
1005000,14.173117546946841
1007500,13.655805792252158
1010000,13.390225213026943
1012500,13.151202691724249
1015000,12.936082422551824
1017500,12.742474180296641
1020000,12.568226762266978
1022500,12.51140408604028
1025000,12.660263677436252
1027500,12.894237309692627
1030000,13.204813578723364
1032500,13.584332220851028
1035000,14.225898998765926
1037500,14.803309098889333
1040000,15.4229781890004
1042500,16.08068037010036
1045000,16.772612333090326
1047500,17.395351099781294
1050000,17.955815989803163
1052500,18.660234390822847
1055000,19.294210951740563
1057500,19.864789856566507
1060000,20.378310870909857
1062500,20.84047978381887
1065000,21.456431805436985
