step,value
1065000,3.0
1067500,4.1
1070000,6.489999999999999
1072500,9.640999999999998
1075000,13.676899999999996
1077500,18.409209999999995
1080000,23.968288999999995
1082500,29.071460099999996
1085000,34.064314089999996
1087500,39.557882680999995
1090000,45.40209441289999
1092500,51.56188497160999
1095000,57.70569647444899
1097500,64.13512682700409
1100000,70.62161414430368
1102500,76.85945272987331
1105000,83.17350745688599
1107500,90.25615671119738
1110000,97.73054104007764
1112500,104.45748693606988
1115000,111.5117382424629
1117500,119.16056441821661
1120000,127.34450797639495
1122500,135.71005717875545
1125000,144.33905146087992
1127500,153.30514631479193
1130000,162.17463168331273
1132500,171.25716851498143
1135000,180.43145166348327
1137500,189.88830649713495
1140000,199.49947584742145
1142500,209.34952826267929
1145000,218.81457543641136
1147500,227.83311789277025
1150000,236.94980610349324
1152500,246.25482549314393
1155000,255.32934294382952
1157500,264.0964086494466
1160000,272.7867677845019
1162500,281.2080910060517
1165000,289.6872819054465
1167500,298.11855371490185
1170000,306.20669834341163
1172500,314.0860285090705
1175000,322.07742565816346
1177500,330.56968309234713
1180000,339.5127147831124
1182500,348.76144330480116
1185000,358.1852989743211
1187500,367.666769076889
1190000,377.2000921692001
1192500,386.9800829522801
1195000,396.98207465705207
1197500,407.48386719134686
1200000,418.0354804722122
1202500,428.531932424991
1205000,439.27873918249185
1207500,450.15086526424267
1210000,461.1357787378184
1212500,472.02220086403656
1215000,483.0199807776329
1217500,494.4179826998696
1220000,505.8761844298826
1222500,516.9885659868944
1225000,528.0897093882049
1227500,539.2807384493844
1230000,550.452664604446
1232500,561.3073981440015
1235000,571.8766583296012
1237500,582.5889924966411
1240000,593.730093246977
1242500,605.0570839222794
1245000,616.1513755300515
1247500,627.1362379770463
1250000,638.5226141793418
1252500,649.9703527614075
1255000,661.7733174852667
1257500,673.39598573674
1260000,685.2563871630659
1262500,697.4307484467593
1265000,709.1876736020834
1267500,720.768906241875
1270000,731.7920156176875
1272500,742.8128140559187
1275000,753.8315326503268
1277500,765.1483793852941
1280000,776.9335414467647
1282500,788.7401873020882
1285000,800.2661685718793
1287500,812.1395517146914
1290000,824.0255965432223
1292500,835.9230368889
1295000,847.8307332000101
1297500,859.0476598800091
1300000,869.9428938920081
1302500,880.6486045028072
1305000,891.4837440525265
1307500,902.1353696472738
1310000,912.8218326825464
1312500,923.5396494142918
1315000,934.3856844728626
1317500,945.2471160255764
1320000,956.2224044230187
1322500,967.7001639807169
1325000,979.2301475826451
1327500,990.9071328243807
1330000,1002.4164195419427
1332500,1013.8747775877483
1335000,1025.2872998289736
1337500,1036.6585698460763
1340000,1047.8927128614687
1342500,1059.203441575322
1345000,1070.5830974177898
1347500,1082.1247876760108
1350000,1093.8123089084097
1352500,1105.6310780175688
1355000,1117.767970215812
1357500,1129.991173194231
1360000,1142.2920558748078
1362500,1154.662850287327
1365000,1166.6965652585943
1367500,1178.9269087327348
1370000,1191.1342178594612
1372500,1203.5207960735152
1375000,1215.6687164661637
1377500,1228.1018448195473
1380000,1240.5916603375927
1382500,1253.1324943038333
1385000,1265.6192448734498
1387500,1278.257320386105
1390000,1290.8315883474943
1392500,1303.448429512745
1395000,1316.1035865614706
1397500,1328.8932279053233
1400000,1341.703905114791
1402500,1354.6335146033118
1405000,1367.7701631429807
1407500,1380.7931468286827
1410000,1394.0138321458144
1412500,1407.3124489312331
1415000,1420.6812040381099
1417500,1434.1130836342988
1420000,1447.5017752708688
1422500,1460.751597743782
1425000,1474.1764379694039
1427500,1487.7587941724635
1430000,1501.782914755217
1432500,1516.1046232796953
1435000,1530.3941609517256
1437500,1544.654744856553
1440000,1558.9892703708977
1442500,1573.1903433338077
1445000,1587.2713090004268
1447500,1601.5441781003842
1450000,1615.9897602903457
1452500,1630.290784261311
1455000,1644.56170583518
1457500,1658.8055352516621
1460000,1673.324981726496
1462500,1687.6924835538464
1465000,1702.3232351984616
1467500,1716.9909116786152
1470000,1731.7918205107537
1472500,1746.5126384596783
1475000,1761.1613746137104
1477500,1775.8452371523395
1480000,1790.5607134371055
1482500,1805.4046420933948
1485000,1820.0641778840554
1487500,1834.9577600956497
1490000,1849.8619840860847
1492500,1864.5757856774762
1495000,1879.1182071097287
1497500,1893.6063863987558
1500000,1908.3457477588802
1502500,1923.011172982992
1505000,1937.6100556846927
1507500,1952.1490501162234
1510000,1966.9341451046012
1512500,1981.640730594141
1515000,1996.176657534727
1517500,2010.8589917812542
1520000,2025.6730926031287
1522500,2040.4057833428158
1525000,2055.165205008534
1527500,2069.948684507681
1530000,2084.753816056913
1532500,2099.6784344512216
1535000,2114.8105910060995
1537500,2130.12953190549
1540000,2145.216578714941
1542500,2160.294920843447
1545000,2175.265428759102
1547500,2190.438885883192
1550000,2205.594997294873
1552500,2220.8354975653856
1555000,2236.151947808847
1557500,2251.7367530279625
1560000,2267.263077725166
1562500,2282.5367699526496
1565000,2297.7830929573847
1567500,2312.9047836616464
1570000,2328.1143052954817
1572500,2343.2028747659338
1575000,2358.3825872893403
1577500,2373.9443285604066
1580000,2389.549895704366
1582500,2405.194906133929
1585000,2420.9754155205364
1587500,2436.777873968483
1590000,2452.4000865716353
1592500,2468.060077914472
1595000,2483.754070123025
1597500,2499.278663110723
1600000,2514.7507967996507
1602500,2530.175717119686
1605000,2545.358145407717
1607500,2560.622330866945
1610000,2575.9600977802506
1612500,2591.364088002226
1615000,2606.7276792020034
1617500,2621.954911281803
1620000,2636.859420153623
1622500,2651.6734781382606
1625000,2666.2061303244345
1627500,2681.085517291991
1630000,2695.876965562792
1632500,2710.589269006513
1635000,2725.3303421058617
1637500,2740.1973078952756
1640000,2755.277577105748
1642500,2770.349819395173
1645000,2785.314837455656
1647500,2799.9833537100903
1650000,2814.785018339081
1652500,2829.706516505173
1655000,2844.535864854656
1657500,2859.6822783691905
1660000,2874.7140505322714
1662500,2889.442645479044
1665000,2904.39838093114
1667500,2919.458542838026
1670000,2934.3126885542233
1672500,2949.081419698801
1675000,2963.573277728921
1677500,2978.4159499560287
1680000,2993.1743549604257
1682500,3008.2569194643834
1685000,3023.531227517945
1687500,3038.978104766151
1690000,3054.3802942895354
1692500,3069.6422648605817
1695000,3085.0780383745237
1697500,3100.4702345370715
1700000,3115.8232110833646
1702500,3131.140889975028
1705000,3146.3268009775256
1707500,3161.394120879773
1710000,3176.8547087917955
1712500,3192.469237912616
1715000,3208.022314121354
1717500,3223.620082709219
1720000,3239.358074438297
1722500,3254.722266994467
1725000,3269.9500402950202
1727500,3285.255036265518
1730000,3300.829532638966
1732500,3316.5465793750695
1735000,3332.0919214375626
1737500,3347.7827292938064
1740000,3363.204456364426
1742500,3378.4840107279833
1745000,3393.535609655185
1747500,3408.4820486896665
1750000,3423.4338438206996
1752500,3438.49045943863
1755000,3453.541413494767
1757500,3468.58727214529
1760000,3483.228544930761
1762500,3498.0056904376847
1765000,3512.905121393916
1767500,3527.8146092545244
1770000,3543.133148329072
1772500,3558.219833496165
1775000,3573.0978501465484
1777500,3588.0880651318935
1780000,3602.7792586187043
1782500,3617.601332756834
1785000,3632.54119948115
1787500,3647.6870795330356
1790000,3663.018371579732
1792500,3678.4165344217586
1795000,3693.6748809795827
1797500,3709.2073928816244
1800000,3724.7866535934622
1802500,3740.2079882341163
1805000,3755.4871894107046
1807500,3770.838470469634
1810000,3786.2546234226706
1812500,3801.3291610804035
1815000,3816.396244972363
1817500,3831.656620475127
1820000,3846.790958427614
1822500,3862.1118625848526
1825000,3877.4006763263674
1827500,3892.8606086937307
1830000,3908.2745478243573
1832500,3923.9470930419216
1835000,3939.5523837377295
1837500,3955.1971453639567
1840000,3970.877430827561
1842500,3986.789687744805
1845000,4002.8107189703246
1847500,4018.5296470732924
1850000,4033.776682365963
1852500,4049.199014129367
1855000,4064.67911271643
1857500,4079.911201444787
1860000,4095.220081300308
1862500,4110.398073170277
1865000,4125.858265853249
