step,value
1065000,0.0
1067500,0.0
1070000,0.0
1072500,0.0
1075000,0.0
1077500,0.0
1080000,0.0
1082500,0.0
1085000,0.0
1087500,0.0
1090000,0.0
1092500,0.0
1095000,0.0
1097500,0.0
1100000,0.0
1102500,0.0
1105000,0.0
1107500,0.0
1110000,0.0
1112500,0.0
1115000,0.0
1117500,0.0
1120000,0.0
1122500,0.0
1125000,0.0
1127500,0.0
1130000,0.0
1132500,0.0
1135000,0.0
1137500,0.0
1140000,0.0
1142500,0.0
1145000,0.0
1147500,0.0
1150000,0.0
1152500,0.0
1155000,0.0
1157500,0.0
1160000,0.0
1162500,0.0
1165000,0.0
1167500,0.0
1170000,0.0
1172500,0.0
1175000,0.0
1177500,0.0
1180000,0.0
1182500,0.0
1185000,0.0
1187500,0.0
1190000,0.0
1192500,0.0
1195000,0.0
1197500,0.0
1200000,0.0
1202500,0.0
1205000,0.0
1207500,0.0
1210000,0.0
1212500,0.0
1215000,0.0
1217500,0.0
1220000,0.0
1222500,0.0
1225000,0.0
1227500,0.0
1230000,0.0
1232500,0.0
1235000,0.0
1237500,0.0
1240000,0.0
1242500,0.0
1245000,0.0
1247500,0.0
1250000,0.0
1252500,0.0
1255000,0.0
1257500,0.0
1260000,0.0
1262500,0.0
1265000,0.0
1267500,0.0
1270000,0.0
1272500,0.0
1275000,0.0
1277500,0.0
1280000,0.0
1282500,0.0
1285000,0.0
1287500,0.0
1290000,0.0
1292500,0.0
1295000,0.0
1297500,0.0
1300000,0.0
1302500,0.0
1305000,0.0
1307500,0.0
1310000,0.0
1312500,0.0
1315000,0.0
1317500,0.0
1320000,0.0
1322500,0.0
1325000,0.0
1327500,0.0
1330000,0.0
1332500,0.0
1335000,0.0
1337500,0.0
1340000,0.0
1342500,0.0
1345000,0.0
1347500,0.0
1350000,0.0
1352500,0.0
1355000,0.0
1357500,0.0
1360000,0.0
1362500,0.0
1365000,0.0
1367500,0.0
1370000,0.0
1372500,0.0
1375000,0.0
1377500,0.0
1380000,0.0
1382500,0.0
1385000,0.0
1387500,0.0
1390000,0.0
1392500,0.0
1395000,0.0
1397500,0.0
1400000,0.0
1402500,0.0
1405000,0.0
1407500,0.0
1410000,0.0
1412500,0.0
1415000,0.0
1417500,0.0
1420000,0.0
1422500,0.0
1425000,0.0
1427500,0.0
1430000,0.0
1432500,0.0
1435000,0.0
1437500,0.0
1440000,0.0
1442500,0.0
1445000,0.0
1447500,0.0
1450000,0.0
1452500,0.0
1455000,0.0
1457500,0.0
1460000,0.0
1462500,0.0
1465000,0.0
1467500,0.0
1470000,0.0
1472500,0.0
1475000,0.0
1477500,0.0
1480000,0.0
1482500,0.0
1485000,0.0
1487500,0.0
1490000,0.0
1492500,0.0
1495000,0.0
1497500,0.0
1500000,0.0
1502500,0.0
1505000,0.0
1507500,0.0
1510000,0.0
1512500,0.0
1515000,0.0
1517500,0.0
1520000,0.0
1522500,0.0
1525000,0.0
1527500,0.0
1530000,0.0
1532500,0.0
1535000,0.0
1537500,0.0
1540000,0.0
1542500,0.0
1545000,0.0
1547500,0.0
1550000,0.0
1552500,0.0
1555000,0.0
1557500,0.0
1560000,0.0
1562500,0.0
1565000,0.0
1567500,0.0
1570000,0.0
1572500,0.0
1575000,0.0
1577500,0.0
1580000,0.0
1582500,0.0
1585000,0.0
1587500,0.0
1590000,0.0
1592500,0.0
1595000,0.0
1597500,0.0
1600000,0.0
1602500,0.0
1605000,0.0
1607500,0.0
1610000,0.0
1612500,0.0
1615000,0.0
1617500,0.0
1620000,0.0
1622500,0.0
1625000,0.0
1627500,0.0
1630000,0.0
1632500,0.0
1635000,0.0
1637500,0.0
1640000,0.0
1642500,0.0
1645000,0.0
1647500,0.0
1650000,0.0
1652500,0.0
1655000,0.0
1657500,0.0
1660000,0.0
1662500,0.0
1665000,0.0
1667500,0.0
1670000,0.0
1672500,0.0
1675000,0.0
1677500,0.0
1680000,0.0
1682500,0.0
1685000,0.0
1687500,0.0
1690000,0.0
1692500,0.0
1695000,0.0
1697500,0.0
1700000,0.0
1702500,0.0
1705000,0.0
1707500,0.0
1710000,0.0
1712500,0.0
1715000,0.0
1717500,0.0
1720000,0.0
1722500,0.0
1725000,0.0
1727500,0.0
1730000,0.0
1732500,0.0
1735000,0.0
1737500,0.0
1740000,0.0
1742500,0.0
1745000,0.0
1747500,0.0
1750000,0.0
1752500,0.0
1755000,0.0
1757500,0.0
1760000,0.0
1762500,0.0
1765000,0.0
1767500,0.0
1770000,0.0
1772500,0.0
1775000,0.0
1777500,0.0
1780000,0.0
1782500,0.0
1785000,0.0
1787500,0.0
1790000,0.0
1792500,0.0
1795000,0.0
1797500,0.0
1800000,0.0
1802500,0.0
1805000,0.0
1807500,0.0
1810000,0.0
1812500,0.0
1815000,0.0
1817500,0.0
1820000,0.0
1822500,0.0
1825000,0.0
